timestamp_unix,target,pid,container_cpu_percent,process_cpu_ticks,vmrss_bytes,vmhwm_bytes,effective_cpu_affinity,cgroup_memory_current_bytes,cgroup_memory_peak_bytes,cgroup_memory_limit_bytes,jvm_heap_available,jvm_heap_used_bytes,jvm_heap_committed_bytes,jvm_heap_max_bytes
1785699737.927284,hazelcast,13674,0.0,5986,396140544,407392256,0-15,376991744,388710400,,False,,,
1785699738.9281301,hazelcast,13674,0.7755,5999,396423168,407392256,0-15,377753600,388710400,,False,,,
1785699739.9289637,hazelcast,13674,0.7874,6012,396423168,407392256,0-15,377430016,388710400,,False,,,
1785699740.929806,hazelcast,13674,0.7921,6024,396439552,407392256,0-15,377450496,388710400,,False,,,
1785699741.930638,hazelcast,13674,0.7365,6036,396439552,407392256,0-15,377466880,388710400,,False,,,
1785699742.9314635,hazelcast,13674,0.7488,6048,396439552,407392256,0-15,377602048,388710400,,False,,,
1785699743.9323835,hazelcast,13674,1.1395,6063,396451840,407392256,0-15,377503744,388710400,,False,,,
1785699744.9332507,hazelcast,13674,1.317,6084,396472320,407392256,0-15,377507840,388710400,,False,,,
1785699745.9340703,hazelcast,13674,0.766,6096,396472320,407392256,0-15,377548800,388710400,,False,,,
1785699746.9349318,hazelcast,13674,0.9481,6111,396476416,407392256,0-15,377503744,388710400,,False,,,
